拍,時間,傳送位元,是否顯示動畫
390,01:13:07.919,0,YES
391,01:13:08.419,1,NO
392,01:13:08.919,0,NO
393,01:13:09.419,0,YES
394,01:13:09.919,1,NO
395,01:13:10.419,0,NO
396,01:13:10.919,0,YES
397,01:13:11.419,1,NO
398,01:13:11.919,0,NO
399,01:13:12.419,0,NO
400,01:13:12.919,0,YES
401,01:13:13.419,1,NO
402,01:13:13.919,0,NO
403,01:13:14.419,0,YES
404,01:13:14.920,1,NO
405,01:13:15.419,0,NO
406,01:13:15.919,0,YES
407,01:13:16.419,1,NO
408,01:13:16.919,0,NO
409,01:13:17.419,0,NO
410,01:13:17.919,0,NO
411,01:13:18.419,0,NO
412,01:13:18.919,0,NO
413,01:13:19.419,0,NO
414,01:13:19.919,0,NO
415,01:13:20.419,0,NO
416,01:13:20.919,0,NO
417,01:13:21.419,0,NO
418,01:13:21.937,0,NO
419,01:13:22.419,0,NO
420,01:13:22.919,0,YES
421,01:13:23.419,1,NO
422,01:13:23.919,0,NO
423,01:13:24.419,0,YES
424,01:13:24.919,1,NO
425,01:13:25.419,0,NO
426,01:13:25.919,0,YES
427,01:13:26.419,1,NO
428,01:13:26.919,0,NO
429,01:13:27.419,0,NO
430,01:13:27.919,0,YES
431,01:13:28.419,1,NO
432,01:13:28.919,0,NO
433,01:13:29.419,0,YES
434,01:13:29.919,1,NO
435,01:13:30.419,0,NO
436,01:13:30.919,0,NO
437,01:13:31.419,0,NO
438,01:13:31.919,0,NO
439,01:13:32.419,0,NO
440,01:13:32.919,0,YES
441,01:13:33.421,1,NO
442,01:13:33.919,0,NO
443,01:13:34.419,0,NO
444,01:13:34.919,0,NO
